Entity,Code,Date,"Excess_mortality_P-scores,_ages_15-64","Excess_mortality_P-scores,_ages_65-74","Excess_mortality_P-scores,_ages_75-84","Excess_mortality_P-scores,_ages_85+"
Canada,CAN,2/16/2020,-0.66,2.92,0.52,-5.71
Canada,CAN,2/23/2020,-11.53,-0.18,-2.62,2.16
Canada,CAN,3/1/2020,-7.1,7.1,4.23,-1.5
Canada,CAN,3/8/2020,2.64,1.79,-0.85,1.24
Canada,CAN,3/15/2020,-1.72,3.61,1.17,0.19
Canada,CAN,3/22/2020,-1.51,10.56,7.91,1.63
Canada,CAN,3/29/2020,-7.87,12.15,9.53,7.53
Canada,CAN,4/5/2020,6.45,11.73,8.83,21.8
Canada,CAN,4/12/2020,5.49,19.53,16.81,27.13
Canada,CAN,4/19/2020,-1.54,19.86,16.83,35.5
Canada,CAN,4/26/2020,3.68,25.6,22.13,41.63
Canada,CAN,5/3/2020,5.07,20.62,17.97,39.89
Canada,CAN,5/10/2020,6.39,16.75,13.54,28.04
Canada,CAN,5/17/2020,4.68,15.82,13.21,19.74
Canada,CAN,5/24/2020,6.78,9.36,6.7,16.55
Canada,CAN,5/31/2020,2.43,13.15,10.07,15.67
Canada,CAN,6/7/2020,1.04,6.9,4.33,4.04
Canada,CAN,6/14/2020,-0.15,1.25,-1.45,-4.94
Canada,CAN,6/21/2020,-1.45,3.27,1.11,-1.03
Canada,CAN,6/28/2020,-6.41,2.41,-0.24,0.75
Canada,CAN,7/5/2020,-4.91,-3.88,-6.29,-5.28
Canada,CAN,7/12/2020,-3.4,2.22,-0.12,-3.51
Canada,CAN,7/19/2020,-0.08,-3.06,-5.75,-5.29
Canada,CAN,7/26/2020,-5.46,-1.43,-3.57,-9.27
Chile,CHL,1/5/2020,5.27,12.8,2.97,11.97
Chile,CHL,1/12/2020,14.11,2.9,5.33,25.92
Chile,CHL,1/19/2020,2.43,5.39,8.19,18.32
Chile,CHL,1/26/2020,-0.34,0.82,7.87,4.64
Chile,CHL,2/2/2020,0.91,-2.88,0.89,12.5
Chile,CHL,2/9/2020,5.74,10.27,7.81,12.83
Chile,CHL,2/16/2020,10.37,-2.82,11.32,-0.11
Chile,CHL,2/23/2020,-3.57,-7.54,7.42,7.42
Chile,CHL,3/1/2020,0.87,3.07,13.24,7.86
Chile,CHL,3/8/2020,-2.64,2.37,6.94,15.46
Chile,CHL,3/15/2020,11.95,16.51,0.66,5.52
Chile,CHL,3/22/2020,8.14,11.18,12.14,15.12
Chile,CHL,3/29/2020,7.21,4.91,9.86,15.79
Chile,CHL,4/5/2020,9.56,7.59,23.33,3.83
Chile,CHL,4/12/2020,-0.1,-2.75,2.37,14.48
Chile,CHL,4/19/2020,6.4,-2.43,16.04,15.39
Chile,CHL,4/26/2020,6.33,13.78,6.75,-0.55
Chile,CHL,5/3/2020,7.99,11.33,5.08,1.68
Chile,CHL,5/10/2020,19.23,19.81,22.18,20.02
Chile,CHL,5/17/2020,19.37,27.75,14.55,21.61
Chile,CHL,5/24/2020,41.49,38.11,45.33,21.04
Chile,CHL,5/31/2020,54.89,70.08,65,37.23
Chile,CHL,6/7/2020,70.31,95.26,76.56,49.76
Chile,CHL,6/14/2020,54.46,94.67,80.94,46.49
Chile,CHL,6/21/2020,62.64,80.21,52.96,34.87
Chile,CHL,6/28/2020,57.77,64.51,38,29.85
Chile,CHL,7/5/2020,36.98,31.57,32.29,20.24
Chile,CHL,7/12/2020,31.78,46.52,25.63,9.99
Chile,CHL,7/19/2020,15.58,34.88,15.97,6.27
Chile,CHL,7/26/2020,16.3,22.59,15.44,8.56
Chile,CHL,8/2/2020,14.52,26.1,12.95,7.24
Chile,CHL,8/9/2020,0.8,24.95,12.74,9.62
Chile,CHL,8/16/2020,12.05,20.12,5.4,2.09
Chile,CHL,8/23/2020,21.38,19.63,16.92,13.16
Chile,CHL,8/30/2020,19.58,6.01,19.73,15.38
Chile,CHL,9/6/2020,9.22,18.08,7.14,3.88
Chile,CHL,9/13/2020,5.74,12.2,16.03,14.22
Chile,CHL,9/20/2020,1.77,16.11,13.26,6.89
Chile,CHL,9/27/2020,12.81,19.18,9.66,7.56
Chile,CHL,10/4/2020,27.48,7.23,14.67,2.84
Chile,CHL,10/11/2020,13.63,28.56,18.75,23.82
Chile,CHL,10/18/2020,22.87,15.57,16.41,12.05
Chile,CHL,10/25/2020,21.36,24.72,20.18,8.55
Chile,CHL,11/1/2020,19.67,25.66,20.13,1.58
Chile,CHL,11/8/2020,15.22,15.49,17.3,10.33
Croatia,HRV,1/5/2020,-10.9,-7.57,-29.06,-9.17
Croatia,HRV,1/12/2020,-14.57,-18.26,-21.06,-9.79
Croatia,HRV,1/19/2020,-21.27,-2.74,-30.02,-13.37
Croatia,HRV,1/26/2020,-5.84,-0.09,-13.86,-7.51
Croatia,HRV,2/2/2020,-8.39,5.09,-20.25,-2.04
Croatia,HRV,2/9/2020,-19.72,-8.97,-17.44,8.37
Croatia,HRV,2/16/2020,-7,3.36,-9.33,-1.54
Croatia,HRV,2/23/2020,-6.16,-9.36,-10.49,1.22
Croatia,HRV,3/1/2020,-16.21,2.02,-19.84,2.99
Croatia,HRV,3/8/2020,-10.83,7.04,-16.38,0.36
Croatia,HRV,3/15/2020,-0.44,16.49,-12.46,2.06
Croatia,HRV,3/22/2020,-2.48,17.36,-5.78,8.17
Croatia,HRV,3/29/2020,4.17,13.64,11.2,4.02
Croatia,HRV,4/5/2020,-12.51,-0.2,-9.24,6.81
Croatia,HRV,4/12/2020,-10.17,4.95,-12.87,19.06
Croatia,HRV,4/19/2020,-6.78,8.75,-2.09,6.43
Croatia,HRV,4/26/2020,-13.75,-25.33,-18.53,-0.56
Croatia,HRV,5/3/2020,-8.95,-2.76,-11.8,-1.92
